"Reference","DOI","DOI_PANGAEA","Included/Not included","Reason for non inclusion","Country/Region","Year"
"Cole, V. J., Parker, L. M., Scanes, E., Wright, J., Barnett, L., & Ross, P. M., 2021. Climate change alters shellfish reef communities: a temperate mesocosm experiment. Marine Pollution Bulletin 173:113113","doi:10.1016/j.marpolbul.2021.113113","","Not included","No answer from authors","Australia","2021"
"Coleman, D. W., Byrne, M., & Davis, A. R., 2014. Molluscs on acid: gastropod shell repair and strength in acidifying oceans. Marine Ecology Progress Series 509:203-211","doi:10.3354/meps10887","","Not included","No answer from authors","Australia","2014"
"Coll-Lladó, C., Giebichenstein, J., Webb, P. B., Bridges, C. R., & Garcia de la Serrana, D., 2018. Ocean acidification promotes otolith growth and calcite deposition in gilthead sea bream (Sparus aurata) larvae. Scientific Reports 8:8384","doi:10.1038/s41598-018-26026-y","","Not included","No answer from authors","EU-UK","2018"
"Coll-Lladó, C., Mittermayer, F., Webb, P. B., Allison, N., Clemmesen, C., Stiasny, M. et al., 2021. Pilot study to investigate the effect of long-term exposure to high pCO2 on adult cod (Gadus morhua) otolith morphology and calcium carbonate deposition. Fish Physiology and Biochemistry 47:1879-1891","doi:10.1007/s10695-021-01016-6","","Not included","No answer from authors","EU-UK","2021"
"Collier, C. J., Langlois, L., Ow, Y., Johansson, C., Giammusso, M., Adams, M. P. et al., 2018. Losing a winner: thermal stress and local pressures outweigh the positive effects of ocean acidification for tropical seagrasses. New Phytologist 219:1005-1017","doi:10.1111/nph.15234","","Not included","No answer from authors","Australia","2018"
"Comeau, S., Carpenter, R. C., & Edmunds, P. J., 2014. Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolithon reinboldii to temperature elevation and ocean acidification. Journal of Experimental Marine Biology and Ecology 453:28-35","doi:10.1016/j.jembe.2013.12.013","","Not included","No answer from authors","USA","2014"
"Comeau, S., Lantz, C. A., Edmunds, P. J., & Carpenter, R. C., 2016. Framework of barrier reefs threatened by ocean acidification. Global Change Biology 22:1225-1234","doi:10.1111/gcb.13023","","Not included","No answer from authors","USA","2016"
"Cominassi, L., Moyano, M., Claireaux, G., Howald, S., Mark, F. C., Zambonino-Infante, J. L. et al., 2019. Combined effects of ocean acidification and temperature on larval and juvenile growth, development and swimming performance of European sea bass (Dicentrarchus labrax). PLoS ONE 14:e0221283","doi:10.1371/journal.pone.0221283","","Not included","No answer from authors","EU-Germany","2019"
"Cominassi, L., Moyano, M., Claireaux, G., Howald, S., Mark, F. C., Zambonino-Infante, J. L. et al., 2020. Food availability modulates the combined effects of ocean acidification and warming on fish growth. Scientific Reports 10:2338","doi:10.1038/s41598-020-58846-2","","Not included","No answer from authors","EU-Germany","2020"
"Connell, S. D., Doubleday, Z. A., Foster, N. R., Hamlyn, S. B., Harley, C. D. G., Helmuth, B. et al., 2018. The duality of ocean acidification as a resource and a stressor. Ecology 99:1005-1010","doi:10.1002/ecy.2209","","Not included","No answer from authors","Australia","2018"
"Conradi, M., Sánchez-Moyano, J. E., Bhuiyan, M. K. A., Rodríguez-Romero, A., Galotti, A., Basallote, M. D. et al., 2019. Intraspecific variation in the response of the estuarine European isopod Cyathura carinata (Krøyer, 1847) to ocean acidification. Science of the Total Environment 683:134-145","doi:10.1016/j.scitotenv.2019.05.227","","Not included","No answer from authors","EU-Spain","2019"
"Cooper, H. L., Potts, D. C., & Paytan, A., 2016. Metabolic responses of the North Pacific krill, Euphausia pacifica, to short- and long-term pCO2 exposure. Marine Biology 163:207","doi:10.1007/s00227-016-2982-z","","Not included","No answer from authors","USA","2016"
"Cooper, H. L., Potts, D. C., & Paytan, A., 2017. Effects of elevated pCO2 on the survival, growth, and moulting of the Pacific krill species, Euphausia pacifica. ICES Journal of Marine Science 74:1005-1012","doi:10.1093/icesjms/fsw021","","Not included","No answer from authors","USA","2017"
"Córdova-Rodríguez, K., Flye-Sainte-Marie, J., Fernández, E., Graco, M., Rozas, A., & Aguirre-Velarde, A., 2022. Effect of low pH on growth and shell mechanical properties of the Peruvian scallop Argopecten purpuratus (Lamarck, 1819). Marine Environmental Research 177:105639","doi:10.1016/j.marenvres.2022.105639","","Not included","No answer from authors","Peru","2022"
"Costa, R. A., Olvera, A., Power, D. M., & Velez, Z., 2022. Ocean acidification affects the expression of neuroplasticity and neuromodulation markers in seabream. Biology Open bio.059073","doi:10.1242/bio.059073","","Not included","No answer from authors","EU-Portugal","2022"
"Costa, S., Coppola, F., Pretti, C., Intorre, L., Meucci, V., Soares, A. M. V. M. et al., 2020. The influence of climate change related factors on the response of two clam species to diclofenac. Ecotoxicology and Environmental Safety 189:109899","doi:10.1016/j.ecoenv.2019.109899","","Not included","No answer from authors","EU-Portugal","2020"
"Costa, S., Coppola, F., Pretti, C., Intorre, L., Meucci, V., Soares, A. M. V. M. et al., 2020. Biochemical and physiological responses of two clam species to Triclosan combined with climate change scenario. Science of the Total Environment 724:138143","doi:10.1016/j.scitotenv.2020.138143","","Not included","No answer from authors","EU-Portugal","2020"
"Court, M., Paula, J. R., Macau, M., Otjacques, E., Repolho, T., Rosa, R. et al., 2022. Camouflage and exploratory avoidance of newborn cuttlefish under warming and acidification. Biology 11:1394","doi:10.3390/biology11101394","","Not included","No answer from authors","EU-Portugal","2022"
"Crespel, A., Anttila, K., Lelièvre, P., Quazuguel, P., Le Bayon, N., Zambonino-Infante, J.-L. et al., 2019. Long-term effects of ocean acidification upon energetics and oxygen transport in the European sea bass (Dicentrarchus labrax, Linnaeus). Marine Biology 166:116","doi:10.1007/s00227-019-3562-9","","Not included","No answer from authors","EU-France","2019"
"Crespel, A., Zambonino-Infante, J.-L., Mazurais, D., Koumoundouros, G., Fragkoulis, S., Quazuguel, P. et al., 2017. The development of contemporary European sea bass larvae (Dicentrarchus labrax) is not affected by projected ocean acidification scenarios. Marine Biology 164:143","doi:10.1007/s00227-017-3178-x","","Not included","No answer from authors","EU-France","2017"
"Cross, E. L., Harper, E. M., & Peck, L. S., 2019. Thicker shells compensate extensive dissolution in brachiopods under future ocean acidification. Environmental Science and Technology 53:5016-5026","doi:10.1021/acs.est.9b00714","","Not included","No answer from authors","EU-UK","2019"
"Cross, E. L., Peck, L. S., & Harper, E. M., 2015. Ocean acidification does not impact shell growth or repair of the Antarctic brachiopod Liothyrella uva (Broderip, 1833). Journal of Experimental Marine Biology and Ecology 462:29-35","doi:10.1016/j.jembe.2014.10.013","","Not included","No answer from authors","EU-UK","2015"
"Cross, E. L., Peck, L. S., Lamare, M. D., & Harper, E. M., 2016. No ocean acidification effects on shell growth and repair in the New Zealand brachiopod Calloria inconspicua (Sowerby, 1846). ICES Journal of Marine Science 73:920-926","doi:10.1093/icesjms/fsv031","","Not included","No answer from authors","EU-UK","2016"
"Cui, D., Liu, L., Zhao, T., Zhan, Y., Song, J., Zhang, W. et al., 2022. Responses of sea urchins (Strongylocentrotus intermedius) with different sexes to CO|2|-induced seawater acidification: histology, physiology, and metabolomics. Marine Pollution Bulletin 178:113606","doi:10.1016/j.marpolbul.2022.113606","","Not included","No answer from authors","China","2022"
"Cui, W., Cao, L., Liu, J., Ren, Z., Zhao, B., & Dou, S., 2020. Effects of seawater acidification and cadmium on the antioxidant defense of flounder Paralichthys olivaceus larvae. Science of the Total Environment 718:137234","doi:10.1016/j.scitotenv.2020.137234","","Not included","No answer from authors","China","2020"
"Cui, W., Liu, J., Cao, L., & Dou, S., 2021. Toxicological effects of cadmium on the immune response and biomineralization of larval flounder Paralichthys olivaceus under seawater acidification. Chemosphere 132919","doi:10.1016/j.chemosphere.2021.132919","","Not included","No answer from authors","China","2021"
"Cummings, V., Hewitt, J., Van Rooyen, A., Currie, K., Beard, S., Thrush, S. et al., 2011. Ocean acidification at high latitudes: potential effects on functioning of the Antarctic bivalve Laternula elliptica. PLoS ONE 6:e16069","doi:10.1371/journal.pone.0016069","","Not included","No answer from authors","New Zealand","2011"
"Cummings, V. J., Barr, N. G., Budd, R. G., Marriott, P. M., Safi, K. A., & Lohrer, A. M., 2019. In situ response of Antarctic under-ice primary producers to experimentally altered pH. Scientific Reports 9:6069","doi:10.1038/s41598-019-42329-0","","Not included","No answer from authors","New Zealand","2019"
"Cunha Sarmento, V., Pinheiro Ramos, B., & de Jesus Flores Montes, M. P. S., PJ, 2017. Impact of predicted climate change scenarios on a coral reef meiofauna community. ICES Journal of Marine Science 74:1170-1179","doi:10.1093/icesjms/fsw234","","Not included","No answer from authors","Brazil","2017"
"Cunningham, S. C., Smith, A. M., & Lamare, M. D., 2016. The effects of elevated pCO2 on growth, shell production and metabolism of cultured juvenile abalone. Aquaculture Research 47:2375-2392","doi:10.1111/are.2016.47.issue-8","","Not included","No answer from authors","New Zealand","2016"
"da Silva Souza, L., Bonnail, E., Alves Maranho, L., Pusceddu, F. H., Sanzi Cortez, F., Cesar, A. et al., 2021. Sub-lethal combined effects of illicit drug and decreased pH on marine mussels: a short-time exposure to crack cocaine in CO2 enrichment scenarios. Marine Pollution Bulletin 171:112735","doi:10.1016/j.marpolbul.2021.112735","","Not included","No answer from authors","EU-Spain","2021"
"da Silva Souza, L., Bonnail, E., Luzzi, J. A., Cesar, A., DelValls, T. A., & Pereira, C. D. S., 2022. Could acidified environments intensify illicit drug effects on the reproduction of marine mussels? Applied Sciences 12:11204","doi:10.3390/app122111204","","Not included","No answer from authors","EU-Spain","2022"
"Dahlke, F., Lucassen, M., Bickmeyer, U., Wohlrab, S., Puvanendran, V., Mortensen, A. et al., 2020. Fish embryo vulnerability to combined acidification and warming coincides with a low capacity for homeostatic regulation. Journal of Experimental Biology 223:jeb212589","doi:10.1242/jeb.212589","","Not included","No answer from authors","EU-Germany","2020"
"Dahlke, F. T., Butzin, M., Nahrgang, J., Puvanendran, V., Mortensen, A., Pörtner, H. O. et al., 2018. Northern cod species face spawning habitat losses if global warming exceeds 1.5°C. Science Advances 4:eaas8821","doi:10.1126/sciadv.aas8821","","Not included","No answer from authors","EU-Germany","2018"
"Dang, X., Lim, Y. K., Li, Y., Roberts, S. B., Li, L., & Thiyagarajan, V., 2023. Epigenetic-associated phenotypic plasticity of the ocean acidification-acclimated edible oyster in the mariculture environment. Molecular Ecology 32:412-427","doi:10.1111/mec.16751","","Not included","No answer from authors","China, Hong Kong","2023"
"Daniel, D., Nunes, B., Pinto, E., Ferreira, I. M. P. L. V. O., & Correia, A. T., 2022. Assessment of paracetamol toxic effects under varying seawater pH conditions on the marine polychaete i using biochemical endpoints. Biology 11:581","doi:10.3390/biology11040581","","Not included","No answer from authors","EU-Portugal","2022"
"Davidson, A. T., McKinlay, J., Westwood, K., Thomson, P. G., van den Enden, R., de Salas, M. et al., 2016. Enhanced CO2 concentrations change the structure of Antarctic marine microbial communities. Marine Ecology Progress Series 552:93-113","doi:10.3354/meps11742","","Not included","No answer from authors","Australia","2016"
"Davis, A. R., Coleman, D., Broad, A., Byrne, M., Dworjanyn, S. A., & Przeslawski, R., 2013. Complex responses of intertidal molluscan embryos to a warming and acidifying ocean in the presence of UV radiation. PLoS ONE 8:e55939","doi:10.1371/journal.pone.0055939","","Not included","No answer from authors","Australia","2013"
"Davis, B. E., Flynn, E. E., Miller, N. A., Nelson, F. A., Fangue, N. A., & Todgham, A. E., 2018. Antarctic emerald rockcod have the capacity to compensate for warming when uncoupled from CO2-acidification. Global Change Biology 24:e655-e670","doi:10.1111/gcb.13987","","Not included","No answer from authors","USA","2018"
"Davis, B. E., Komoroske, L. M., Hansen, M. J., Poletto, J. B., Perry, E. N., Miller, N. A. et al., 2018. Juvenile rockfish show resilience to CO2-acidification and hypoxia across multiple biological scales. Conservation Physiology 6:coy038","doi:10.1093/conphys/coy038","","Not included","No answer from authors","USA","2018"
"Davis, C. V., Rivest, E. B., Hill, T. M., Gaylord, B., Russell, A. D., & Sanford, E., 2017. Ocean acidification compromises a planktic calcifier with implications for global carbon cycling. Scientific Reports 7:2225","doi:10.1038/s41598-017-01530-9","","Not included","No answer from authors","USA","2017"
"de Andrade, I. M., Ferreira, J. R. C., Ramaglia, A. C., & Augusto, A., 2022. Interaction between reduced pH and multiple stressors affects the physiology of the fiddler crab Leptuca thayeri (Rathbun, 1900) (Decapoda: Brachyura: Ocypodidae). Journal of Crustacean Biology 42:ruac050","doi:10.1093/jcbiol/ruac050","","Not included","No answer from authors","Brazil","2022"
"De Bodt, C., Harlay, J., & Chou, L., 2008. Biocalcification by Emiliania huxleyi in batch culture experiments. Mineralogical Magazine 72:251-256","doi:10.1180/minmag.2008.072.1.251","","Not included","No answer from authors","EU-Belgium","2008"
"de la Haye, K. L., Spicer, J. I., Widdicombe, S., & Briffa, M., 2011. Reduced sea water pH disrupts resource assessment and decision making in the hermit crab Pagurus bernhardus. Animal Behaviour 82:495-501","doi:10.1016/j.anbehav.2011.05.030","","Not included","No answer from authors","EU-UK","2011"
"de la Haye, K. L., Spicer, J. I., Widdicombe, S., & Briffa, M., 2012. Reduced pH sea water disrupts chemo-responsive behaviour in an intertidal crustacean. Journal of Experimental Marine Biology and Ecology 412:134-140","doi:10.1016/j.jembe.2011.11.013","","Not included","No answer from authors","EU-UK","2012"
"de los Santos, C. B., Arenas, F., Neuparth, T., & Santos, M. M., 2019. Interaction of short-term copper pollution and ocean acidification in seagrass ecosystems: toxicity, bioconcentration and dietary transfer. Marine Pollution Bulletin 142:155-163","doi:10.1016/j.marpolbul.2019.03.034","","Not included","No answer from authors","EU-Portugal","2019"
"De Marchi, L., Neto, V., Pretti, C., Figueira, E., Chiellini, F., Morelli, A. et al., 2017. The impacts of seawater acidification on Ruditapes philippinarum sensitivity to carbon nanoparticles. Environmental Science: Nano 4:1692-1704","doi:10.1039/C7EN00335H","","Not included","No answer from authors","EU-Portugal","2017"
"de Sousa, G. T., Neto, M. C. L., Choueri, R. B., & Castro, Í. B., 2021. Photoprotection and antioxidative metabolism in Ulva lactuca exposed to coastal oceanic acidification scenarios in the presence of Irgarol. Aquatic Toxicology 230:105717","doi:10.1016/j.aquatox.2020.105717","","Not included","No answer from authors","Brazil","2021"
"DeCarlo, T. M., Ren, H., & Farfan, G. A., 2018. The origin and role of organic matrix in coral calcification: insights from comparing coral skeleton and abiogenic aragonite. Frontiers in Marine Science 5:170","doi:10.3389/fmars.2018.00170","","Not included","No answer from authors","Australia","2018"
"DeCarlo, T. M., Cohen, A. L., Barkley, H. C., Cobban, Q., Young, C., Shamberger, K. E. et al., 2015. Coral macrobioerosion is accelerated by ocean acidification and nutrients. Geology 43:7-10","doi:10.1130/G36147.1","","Not included","No answer from authors","USA","2015"
"Del Monaco, C., Hay, M. E., Gartrell, P., Mumby, P. J., & Diaz-Pulido, G., 2017. Effects of ocean acidification on the potency of macroalgal allelopathy to a common coral. Scientific Reports 7:41053","doi:10.1038/srep41053","","Not included","No answer from authors","Australia","2017"
"Del Pasqua, M., Gambi, M. C., Caricato, R., Lionetto, M. G., & Giangrande, A., 2019. Effects of short-term and long-term exposure to ocean acidification on carbonic anhydrase activity and morphometric characteristics in the invasive polychaete Branchiomma boholense (Annelida: Sabellidae): a case-study from a CO2 vent system. Marine Environmental Research 144:203-212","doi:10.1016/j.marenvres.2019.01.011","","Not included","No answer from authors","EU-Italy","2019"
"Dennis, C. E., Kates, D. F., Noatch, M. R., & Suski, C. D., 2015. Molecular responses of fishes to elevated carbon dioxide. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 187:224-231","doi:10.1016/j.cbpa.2014.05.013","","Not included","No answer from authors","USA","2015"
"DePasquale, E., Baumann, H., & Gobler, C. J., 2015. Vulnerability of early life stage Northwest Atlantic forage fish to ocean acidification and low oxygen. Marine Ecology Progress Series 523:145-156","doi:10.3354/meps11142","","Not included","No answer from authors","USA","2015"
"Devine, B. M., & Munday, P. L., 2013. Habitat preferences of coral-associated fishes are altered by short-term exposure to elevated CO2. Marine Biology 160:1955-1962","doi:10.1007/s00227-012-2051-1","","Not included","No answer from authors","Australia","2013"
"Devine, B. M., Munday, P. L., & Jones, G. P., 2012. Rising CO2 concentrations affect settlement behaviour of larval damselfishes. Coral Reefs 31:229-238","doi:10.1007/s00338-011-0837-0","","Not included","No answer from authors","Australia","2012"
"Di Santo, V., 2015. Ocean acidification exacerbates the impacts of global warming on embryonic little skate, Leucoraja erinacea (Mitchill). Journal of Experimental Marine Biology and Ecology 463:72-78","doi:10.1016/j.jembe.2014.11.006","","Not included","No answer from authors","USA","2015"
"Díaz-Castañeda, V., Cox, T. E., Gazeau, F., Fitzer, S., Delille, J., Alliouane, S. et al., 2019. Ocean acidification affects calcareous tube growth in adult stage and reared offspring of serpulid polychaetes. Journal of Experimental Biology 222:jeb196543","doi:10.1242/jeb.196543","","Not included","No answer from authors","Mexico","2019"
"Diaz-Pulido, G., & Barrón, C., 2020. CO2 enrichment stimulates dissolved organic carbon release in coral reef macroalgae. Journal of Phycology 56:1039-1052","doi:10.1111/jpy.13002","","Not included","No answer from authors","Australia","2020"
"Diaz-Pulido, G., Nash, M. C., Anthony, K. R., Bender, D., Opdyke, B. N., Reyes-Nivia, C. et al., 2014. Greenhouse conditions induce mineralogical changes and dolomite accumulation in coralline algae on tropical reefs. Nature Communications 5:3310","doi:10.1038/ncomms4310","","Not included","No answer from authors","Australia","2014"
"Diaz, C. A. H., & Hernández, J. C., 2019. Varying conditions in intertidal pools: high resolution pH dynamics and primary production. Scientia Insularum 1:123-138","doi:10.25145/j.SI.2018.01.008","","Not included","No answer from authors","EU-Spain","2019"
"Dickinson, G. H., Matoo, O. B., Tourek, R. T., Sokolova, I. M., & Beniash, E., 2013. Environmental salinity modulates the effects of elevated CO2 levels on juvenile hard shell clams, Mercenaria mercenaria. Journal of Experimental Biology 216:2607-2618","doi:10.1242/jeb.082909","","Not included","No answer from authors","USA","2013"
"Dineshram, R., Q, Q., Sharma, R., Chandramouli, K., Yalamanchili, H. K., Chu, I. et al., 2015. Comparative and quantitative proteomics reveal the adaptive strategies of oyster larvae to ocean acidification. Proteomics 15:4120-4134","doi:10.1002/pmic.201500198","","Not included","No answer from authors","China","2015"
"Dineshram, R., Xiao, S., Ko, G. W. K., Li, J., Smrithi, K., Thiyagarajan, V. et al., 2021. Ocean acidification triggers cell signaling, suppress immune and calcification in the Pacific oyster larvae. Frontiers in Marine Science 8:782583","doi:10.3389/fmars.2021.782583","","Not included","No answer from authors","China","2021"
"Dionísio, G., Faleiro, F., Bilan, M., Rosa, I. C., Pimentel, M., Serôdio, J. et al., 2017. Impact of climate change on the ontogenetic development of ‘solar-powered’ sea slugs. Marine Ecology Progress Series 578:87-97","doi:10.3354/meps12227","","Not included","No answer from authors","EU-Portugal","2017"
"Dissanayake, A., Clough, R., Spicer, J. I., & Jones, M. B., 2010. Effects of hypercapnia on acid-base balance and osmo-/iono-regulation in prawns (Decapoda: Palaemonidae). Aquatic Biology 11:27-36","doi:10.3354/ab00285","","Not included","No answer from authors","Japan","2010"
"Dissanayake, A., & Ishimatsu, A., 2011. Synergistic effects of elevated CO2 and temperature on the metabolic scope and activity in a shallow-water coastal decapod (Metapenaeus joyneri, Crustacea: Penaeidae). ICES Journal of Marine Science 68:1147-1154","doi:10.1093/icesjms/fsq188","","Not included","No answer from authors","Japan","2011"
"Dixon, R. L., Grecay, P. A., & Targett, T. E., 2017. Responses of juvenile Atlantic silverside, striped killifish, mummichog, and striped bass to acute hypoxia and acidification: Aquatic surface respiration and survival. Journal of Experimental Marine Biology and Ecology 493:20-30","doi:10.1016/j.jembe.2017.04.001","","Not included","No answer from authors","USA","2017"
"Dixson, D. L., Jennings, A. R., Atema, J., & Munday, P. L., 2015. Odor tracking in sharks is reduced under future ocean acidification conditions. Global Change Biology 21:1454-1462","doi:10.1111/gcb.12678","","Not included","No answer from authors","Australia","2015"
"Dobson, K. L., Levas, S., Schoepf, V., Warner, M. E., Cai, W.-J., Hoadley, K. D. et al., 2021. Moderate nutrient concentrations are not detrimental to corals under future ocean conditions. Marine Biology 168:98","doi:10.1007/s00227-021-03901-3","","Not included","No answer from authors","USA","2021"
"Dodd, L. F., Grabowski, J. H., Piehler, M. F., Westfield, I., & Ries, J. B., 2021. Juvenile Eastern oysters more resilient to extreme ocean acidification than their mud crab predators. Geochemistry, Geophysics, Geosystems 22:e2020GC009180","doi:10.1029/2020gc009180","","Not included","No answer from authors","USA","2021"
"Domenici, P., Allan, B., McCormick, M. I., & Munday, P. L., 2012. Elevated carbon dioxide affects behavioural lateralization in a coral reef fish. Biology Letters 8:78-81","doi:10.1098/rsbl.2011.0591","","Not included","No answer from authors","EU-Italy","2012"
"Domenici, P., Allan, B. J. M., Watson, S.-A., McCormick, M. I., & Munday, P. L., 2014. Shifting from right to left: the combined effect of elevated CO2 and temperature on behavioural lateralization in a coral reef fish. PLoS ONE 9:e87969","doi:10.1371/journal.pone.0087969","","Not included","No answer from authors","EU-Italy","2014"
"Domenici, P., Torres, R., & Manríquez, P. H., 2017. Effects of elevated carbon dioxide and temperature on locomotion and the repeatability of lateralization in a keystone marine mollusc. Journal of Experimental Biology 220:667-676","doi:10.1242/jeb.151779","","Not included","No answer from authors","EU-Italy","2017"
"Donahue, K., Klaas, C., Dillingham, P. W., & Hoffmann, L. J., 2019. Combined effects of ocean acidification and increased light intensity on natural phytoplankton communities from two Southern Ocean water masses. Journal of Plankton Research fby048","doi:10.1093/plankt/fby048","","Not included","No answer from authors","EU-Germany","2019"
"Donald, H. K., Ries, J. B., Stewart, J. A., Fowell, S. E., & Foster, G. L., 2017. Boron isotope sensitivity to seawater pH change in a species of Neogoniolithon coralline red alga. Geochimica et Cosmochimica Acta 217:240-253","doi:10.1016/j.gca.2017.08.021","","Not included","No answer from authors","EU-UK","2017"
"Dong, Z., & Sun, T., 2018. Combined effects of ocean acidification and temperature on planula larvae of the moon jellyfish Aurelia coerulea. Marine Environmental Research 139:144-150","doi:10.1016/j.marenvres.2018.05.015","","Not included","No answer from authors","China","2018"
"Donham, E. M., Hamilton, S. L., Aiello, I., Price, N. N., & Smith, J. E., 2022. Consequences of warming and acidification for the temperate articulated coralline alga, Calliarthron tuberculosum (Florideophyceae, Rhodophyta). Journal of Phycology 517-529","doi:10.1111/jpy.13272","","Not included","No answer from authors","USA","2022"
"Donohue, P., Calosi, P., Bates, A. H., Laverock, B., Rastrick, S., Mark, F. C. et al., 2012. Impact of exposure to elevated pCO2 on the physiology and behaviour of an important ecosystem engineer, the burrowing shrimp Upogebia deltaura. Aquatic Biology 15:73-86","doi:10.3354/ab00408","","Not included","No answer from authors","EU-UK","2012"
"Doo, S. S., Carpenter, R. C., & Edmunds, P. J., 2018. Obligate ectosymbionts increase the physiological resilience of a scleractinian coral to high temperature and elevated pCO2. Coral Reefs 37:997-1001","doi:10.1007/s00338-018-1731-9","","Not included","No answer from authors","USA","2018"
"Doo, S. S., Dworjanyn, S. A., Foo, S. A., Soars, N. A., & Byrne, M., 2012. Impacts of ocean acidification on development of the meroplanktonic larval stage of the sea urchin Centrostephanus rodgersii. ICES Journal of Marine Science 69:460-464","doi:10.1093/icesjms/fsr123","","Not included","No answer from authors","Australia","2012"
"Doo, S. S., Edmunds, P. J., & Carpenter, R. C., 2019. Ocean acidification effects on in situ coral reef metabolism. Scientific Reports 9:12067","doi:10.1038/s41598-019-48407-7","","Not included","No answer from authors","USA","2019"
"Doropoulos, C., Ward, S., Diaz-Pulido, G., Hoegh-Guldberg, O., & Mumby, P. J., 2012. Ocean acidification reduces coral recruitment by disrupting intimate larval-algal settlement interactions. Ecology Letters 15:338-346","doi:10.1111/j.1461-0248.2012.01743.x","","Not included","No answer from authors","Australia","2012"
"Doubleday, Z. A., Nagelkerken, I., & Connell, S. D., 2017. Ocean life breaking rules by building shells in acidic extremes. Current Biology 27:R1104-R1106","doi:10.1016/j.cub.2017.08.057","","Not included","No answer from authors","Australia","2017"
"Doubleday, Z. A., Nagelkerken, I., Coutts, M. D., Goldenberg, S. U., & Connell, S. D., 2019. A triple trophic boost: how carbon emissions indirectly change a marine food chain. Global Change Biology 25:978-984","doi:10.1111/gcb.14536","","Not included","No answer from authors","Australia","2019"
"Dove, S. G., Brown, K. T., Van Den Heuvel, A., & Chai, A., 2020. Ocean warming and acidification uncouple calcification from calcifier biomass which accelerates coral reef decline. Communications Earth Environment 1:55","doi:10.1038/s43247-020-00054-x","","Not included","No answer from authors","Australia","2020"
"Dove, S. G., Kline, D. I., Pantos, O., Angly, F. E., Tyson, G. W., & Hoegh-Guldberg, O., 2013. Future reef decalcification under a business-as-usual CO2 emission scenario. Proceedings of the National Academy of Sciences USA 110:15342-15347","doi:10.1073/pnas.1302701110","","Not included","No answer from authors","Australia","2013"
"Drake, J. L., Schaller, M. F., Mass, T., Godfrey, L., Fu, A., Sherrell, R. M. et al., 2018. Molecular and geochemical perspectives on the influence of CO2 on calcification in coral cell cultures. Limnology and Oceanography 63:107-121","doi:10.1002/lno.10617","","Not included","No answer from authors","USA","2018"
"Draper, A. M., & Weissburg, M. J., 2022. Differential effects of warming and acidification on chemosensory transmission and detection may strengthen non-consumptive effects of blue crab predators (Callinectes sapidus) on mud crab prey (Panopeus herbstii). Frontiers in Marine Science 9:944237","doi:10.3389/fmars.2022.944237","","Not included","No answer from authors","USA","2022"
"Drenkard, E. J., Cohen, A. L., McCorkle, D. C., de Putron, S. J., Starczak, V. R., & Repeta, D. J., 2018. Juveniles of the Atlantic coral, Favia fragum (Esper, 1797) do not invest energy to maintain calcification under ocean acidification. Journal of Experimental Marine Biology and Ecology 507:61-69","doi:10.1016/j.jembe.2018.07.007","","Not included","No answer from authors","USA","2018"
"Duarte, B., Repolho, T., Paula, J. R., Caçador, I., Matos, A. R., & Rosa, R., 2022. Ocean acidification alleviates dwarf eelgrass (Zostera noltii) lipid landscape remodeling under warming stress. Biology 11:780","doi:10.3390/biology11050780","","Not included","No answer from authors","EU-Portugal","2022"
"Duarte, C., Jahnsen-Guzmán, N., Quijón, P. A., Manríquez, P. H., Lardies, M. A., Fernández, C. et al., 2021. Morphological, physiological and behavioral responses of an intertidal snail, Acanthina monodon (Pallas), to projected ocean acidification and cooling water conditions in upwelling ecosystems. Environmental Pollution 118481","doi:10.1016/j.envpol.2021.118481","","Not included","No answer from authors","Chile","2021"
"Duarte, C., López, J., Benítez, S., Manríquez, P. H., Navarro, J. M., Bonta, C. C. et al., 2016. Ocean acidification induces changes in algal palatability and herbivore feeding behavior and performance. Oecologia 180:453-462","doi:10.1007/s00442-015-3459-3","","Not included","No answer from authors","Chile","2016"
"Duarte, C., Navarro, J. M., Acuña, K., Torres, R., Manríquez, P. H., Lardies, M. A. et al., 2014. Combined effects of temperature and ocean acidification on the juvenile individuals of the mussel Mytilus chilensis. Journal of Sea Research 85:308-314","doi:10.1016/j.seares.2013.06.002","","Not included","No answer from authors","Chile","2014"
"Duarte, C., Navarro, J. M., Acuña, K., Torres, R., Manríquez, P. H., Lardies, M. A. et al., 2015. Intraspecific variability in the response of the edible mussel Mytilus chilensis (hupe) to ocean acidification. Estuaries and Coasts 38:590-598","doi:10.1007/s12237-014-9845-y","","Not included","No answer from authors","Chile","2015"
"Duarte, C., Navarro, J. M., Quijón, P. A., Loncon, D., Torres, R., Manríquez, P. H. et al., 2018. The energetic physiology of juvenile mussels, Mytilus chilensis (Hupe): The prevalent role of salinity under current and predicted pCO2 scenarios. Environmental Pollution 242 Part A:156-163","doi:10.1016/j.envpol.2018.06.053","","Not included","No answer from authors","Chile","2018"
"Duarte, C. M., Rodriguez-Navarro, A. B., Delgado-Huertas, A., & Krause-Jensen, D., 2020. Dense Mytilus beds along freshwater-influenced Greenland shores: resistance to corrosive waters under high food supply. Estuaries and Coasts 43:387-395","doi:10.1007/s12237-019-00682-3","","Not included","No answer from authors","Kingdom of Saudi Arabia","2020"
